model_name,task_name,"acc,none",n_samples_original,n_samples_effective,n_shot
google/gemma-3-1b-it,analogies_high,0.41875,4800,4800,5
google/gemma-3-1b-it,analogies_low,0.322,2000,2000,5
google/gemma-3-1b-it,analogies_medium,0.3596666666666667,3000,3000,5
google/gemma-3-1b-it,analogies_mono,0.5518181818181818,1100,1100,5
google/gemma-3-1b-it,hypernymy_high,0.5225,4800,4800,5
google/gemma-3-1b-it,hypernymy_low,0.396,2000,2000,5
google/gemma-3-1b-it,hypernymy_medium,0.4826666666666667,3000,3000,5
google/gemma-3-1b-it,hypernymy_mono,0.6734130634774609,1087,1087,5
google/gemma-3-1b-it,meronymy_high,0.4225,4800,4800,5
google/gemma-3-1b-it,meronymy_low,0.3615,2000,2000,5
google/gemma-3-1b-it,meronymy_medium,0.3596666666666667,3000,3000,5
google/gemma-3-1b-it,meronymy_mono,0.5952161913523459,1087,1087,5
google/gemma-3-1b-it,gloss_high,0.6191077441077442,4752,4752,5
google/gemma-3-1b-it,gloss_low,0.3555555555555555,1980,1980,5
google/gemma-3-1b-it,gloss_medium,0.4959595959595959,2970,2970,5
google/gemma-3-1b-it,gloss_mono,0.9207650273224044,1098,1098,5
google/gemma-3-1b-it,analogies_all,0.3810689514483884,36765,36765,5
google/gemma-3-1b-it,gloss_all,0.4933333333333333,750,750,5
google/gemma-3-1b-it,hypernymy_all,0.4358765129878961,36765,36765,5
google/gemma-3-1b-it,meronymy_all,0.3526451788385693,36765,36765,5
google/gemma-3-1b-it,analogies_high,0.3772916666666667,4800,4800,0
google/gemma-3-1b-it,analogies_low,0.3045,2000,2000,0
google/gemma-3-1b-it,analogies_medium,0.3356666666666666,3000,3000,0
google/gemma-3-1b-it,analogies_mono,0.4027272727272727,1100,1100,0
google/gemma-3-1b-it,hypernymy_high,0.4364583333333333,4800,4800,0
google/gemma-3-1b-it,hypernymy_low,0.3665,2000,2000,0
google/gemma-3-1b-it,hypernymy_medium,0.4163333333333333,3000,3000,0
google/gemma-3-1b-it,hypernymy_mono,0.5050597976080957,1087,1087,0
google/gemma-3-1b-it,meronymy_high,0.339375,4800,4800,0
google/gemma-3-1b-it,meronymy_low,0.3005,2000,2000,0
google/gemma-3-1b-it,meronymy_medium,0.3356666666666666,3000,3000,0
google/gemma-3-1b-it,meronymy_mono,0.4645814167433302,1087,1087,0
google/gemma-3-1b-it,gloss_high,0.4659090909090909,4752,4752,0
google/gemma-3-1b-it,gloss_low,0.3424242424242424,1980,1980,0
google/gemma-3-1b-it,gloss_medium,0.4,2970,2970,0
google/gemma-3-1b-it,gloss_mono,0.4717668488160291,1098,1098,0
google/gemma-3-1b-it,analogies_all,0.3569971440228478,36765,36765,0
google/gemma-3-1b-it,gloss_all,0.4133333333333333,750,750,0
google/gemma-3-1b-it,hypernymy_all,0.4017407860737114,36765,36765,0
google/gemma-3-1b-it,meronymy_all,0.3204678362573099,36765,36765,0
google/gemma-7b-it,analogies_high,0.364375,4800,4800,5
google/gemma-7b-it,analogies_low,0.3115,2000,2000,5
google/gemma-7b-it,analogies_medium,0.331,3000,3000,5
google/gemma-7b-it,analogies_mono,0.5927272727272728,1100,1100,5
google/gemma-7b-it,hypernymy_high,0.5591666666666667,4800,4800,5
google/gemma-7b-it,hypernymy_low,0.472,2000,2000,5
google/gemma-7b-it,hypernymy_medium,0.5396666666666666,3000,3000,5
google/gemma-7b-it,hypernymy_mono,0.7580496780128795,1087,1087,5
google/gemma-7b-it,meronymy_high,0.4279166666666666,4800,4800,5
google/gemma-7b-it,meronymy_low,0.382,2000,2000,5
google/gemma-7b-it,meronymy_medium,0.331,3000,3000,5
google/gemma-7b-it,meronymy_mono,0.6347746090156394,1087,1087,5
google/gemma-7b-it,gloss_high,0.7489478114478114,4752,4752,5
google/gemma-7b-it,gloss_low,0.5191919191919192,1980,1980,5
google/gemma-7b-it,gloss_medium,0.6616161616161617,2970,2970,5
google/gemma-7b-it,gloss_mono,0.965391621129326,1098,1098,5
google/gemma-7b-it,analogies_all,0.3755745954032368,36765,36765,5
google/gemma-7b-it,gloss_all,0.652,750,750,5
google/gemma-7b-it,hypernymy_all,0.4855977152182782,36765,36765,5
google/gemma-7b-it,meronymy_all,0.3605331157350741,36765,36765,5
google/gemma-7b-it,analogies_high,0.3547916666666666,4800,4800,0
google/gemma-7b-it,analogies_low,0.3175,2000,2000,0
google/gemma-7b-it,analogies_medium,0.3286666666666666,3000,3000,0
google/gemma-7b-it,analogies_mono,0.5390909090909091,1100,1100,0
google/gemma-7b-it,hypernymy_high,0.4125,4800,4800,0
google/gemma-7b-it,hypernymy_low,0.3775,2000,2000,0
google/gemma-7b-it,hypernymy_medium,0.411,3000,3000,0
google/gemma-7b-it,hypernymy_mono,0.6053357865685373,1087,1087,0
google/gemma-7b-it,meronymy_high,0.3375,4800,4800,0
google/gemma-7b-it,meronymy_low,0.3055,2000,2000,0
google/gemma-7b-it,meronymy_medium,0.3286666666666666,3000,3000,0
google/gemma-7b-it,meronymy_mono,0.5482980680772769,1087,1087,0
google/gemma-7b-it,gloss_high,0.647516835016835,4752,4752,0
google/gemma-7b-it,gloss_low,0.4676767676767677,1980,1980,0
google/gemma-7b-it,gloss_medium,0.5579124579124579,2970,2970,0
google/gemma-7b-it,gloss_mono,0.7896174863387978,1098,1098,0
google/gemma-7b-it,analogies_all,0.3556643546851625,36765,36765,0
google/gemma-7b-it,gloss_all,0.5586666666666666,750,750,0
google/gemma-7b-it,hypernymy_all,0.3944784441724466,36765,36765,0
google/gemma-7b-it,meronymy_all,0.3108119135046919,36765,36765,0
meta-llama/Llama-3.1-8B-Instruct,analogies_high,0.5283333333333333,4800,4800,5
meta-llama/Llama-3.1-8B-Instruct,analogies_low,0.435,2000,2000,5
meta-llama/Llama-3.1-8B-Instruct,analogies_medium,0.4796666666666667,3000,3000,5
meta-llama/Llama-3.1-8B-Instruct,analogies_mono,0.7509090909090909,1100,1100,5
meta-llama/Llama-3.1-8B-Instruct,gloss_high,0.8541666666666666,4752,4752,5
meta-llama/Llama-3.1-8B-Instruct,gloss_low,0.6767676767676768,1980,1980,5
meta-llama/Llama-3.1-8B-Instruct,gloss_medium,0.7777777777777778,2970,2970,5
meta-llama/Llama-3.1-8B-Instruct,gloss_mono,0.98816029143898,1098,1098,5
meta-llama/Llama-3.1-8B-Instruct,meronymy_high,0.5295833333333333,4800,4800,5
meta-llama/Llama-3.1-8B-Instruct,meronymy_low,0.4555,2000,2000,5
meta-llama/Llama-3.1-8B-Instruct,meronymy_medium,0.4796666666666667,3000,3000,5
meta-llama/Llama-3.1-8B-Instruct,meronymy_mono,0.7414903403863845,1087,1087,5
meta-llama/Llama-3.1-8B-Instruct,hypernymy_high,0.638125,4800,4800,5
meta-llama/Llama-3.1-8B-Instruct,hypernymy_low,0.5705,2000,2000,5
meta-llama/Llama-3.1-8B-Instruct,hypernymy_medium,0.619,3000,3000,5
meta-llama/Llama-3.1-8B-Instruct,hypernymy_mono,0.7598896044158233,1087,1087,5
meta-llama/Llama-3.1-8B-Instruct,analogies_all,0.5285733714130287,36765,36765,5
meta-llama/Llama-3.1-8B-Instruct,gloss_all,0.7693333333333333,750,750,5
meta-llama/Llama-3.1-8B-Instruct,hypernymy_all,0.5964096287229702,36765,36765,5
meta-llama/Llama-3.1-8B-Instruct,meronymy_all,0.4608459132326941,36765,36765,5
meta-llama/Llama-3.1-8B-Instruct,analogies_high,0.475,4800,4800,0
meta-llama/Llama-3.1-8B-Instruct,analogies_low,0.4005,2000,2000,0
meta-llama/Llama-3.1-8B-Instruct,analogies_medium,0.43,3000,3000,0
meta-llama/Llama-3.1-8B-Instruct,analogies_mono,0.6418181818181818,1100,1100,0
meta-llama/Llama-3.1-8B-Instruct,hypernymy_high,0.4760416666666666,4800,4800,0
meta-llama/Llama-3.1-8B-Instruct,hypernymy_low,0.4815,2000,2000,0
meta-llama/Llama-3.1-8B-Instruct,hypernymy_medium,0.4816666666666667,3000,3000,0
meta-llama/Llama-3.1-8B-Instruct,hypernymy_mono,0.4912603495860165,1087,1087,0
meta-llama/Llama-3.1-8B-Instruct,meronymy_high,0.3758333333333333,4800,4800,0
meta-llama/Llama-3.1-8B-Instruct,meronymy_low,0.3525,2000,2000,0
meta-llama/Llama-3.1-8B-Instruct,meronymy_medium,0.43,3000,3000,0
meta-llama/Llama-3.1-8B-Instruct,meronymy_mono,0.499540018399264,1087,1087,0
meta-llama/Llama-3.1-8B-Instruct,gloss_high,0.7236952861952862,4752,4752,0
meta-llama/Llama-3.1-8B-Instruct,gloss_low,0.5565656565656566,1980,1980,0
meta-llama/Llama-3.1-8B-Instruct,gloss_medium,0.6249158249158249,2970,2970,0
meta-llama/Llama-3.1-8B-Instruct,gloss_mono,0.8242258652094717,1098,1098,0
meta-llama/Llama-3.1-8B-Instruct,analogies_all,0.4602203182374541,36765,36765,0
meta-llama/Llama-3.1-8B-Instruct,gloss_all,0.6226666666666667,750,750,0
meta-llama/Llama-3.1-8B-Instruct,hypernymy_all,0.451516387868897,36765,36765,0
meta-llama/Llama-3.1-8B-Instruct,meronymy_all,0.3410580715354277,36765,36765,0
mistralai/Mistral-7B-Instruct-v0.3,analogies_high,0.51125,4800,4800,5
mistralai/Mistral-7B-Instruct-v0.3,analogies_low,0.38,2000,2000,5
mistralai/Mistral-7B-Instruct-v0.3,analogies_medium,0.4273333333333333,3000,3000,5
mistralai/Mistral-7B-Instruct-v0.3,analogies_mono,0.73,1100,1100,5
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_high,0.6058333333333333,4800,4800,5
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_low,0.4885,2000,2000,5
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_medium,0.5476666666666666,3000,3000,5
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_mono,0.7608095676172953,1087,1087,5
mistralai/Mistral-7B-Instruct-v0.3,meronymy_high,0.50625,4800,4800,5
mistralai/Mistral-7B-Instruct-v0.3,meronymy_low,0.44,2000,2000,5
mistralai/Mistral-7B-Instruct-v0.3,meronymy_medium,0.4273333333333333,3000,3000,5
mistralai/Mistral-7B-Instruct-v0.3,meronymy_mono,0.7562097516099356,1087,1087,5
mistralai/Mistral-7B-Instruct-v0.3,gloss_all,0.6786666666666666,750,750,5
mistralai/Mistral-7B-Instruct-v0.3,analogies_all,0.4762681898544811,36765,36765,5
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_all,0.5370325037399701,36765,36765,5
mistralai/Mistral-7B-Instruct-v0.3,meronymy_all,0.4199918400652794,36765,36765,5
mistralai/Mistral-7B-Instruct-v0.3,gloss_high,0.8129208754208754,4752,4752,5
mistralai/Mistral-7B-Instruct-v0.3,gloss_low,0.5505050505050505,1980,1980,5
mistralai/Mistral-7B-Instruct-v0.3,gloss_medium,0.6407407407407407,2970,2970,5
mistralai/Mistral-7B-Instruct-v0.3,gloss_mono,0.9899817850637522,1098,1098,5
mistralai/Mistral-7B-Instruct-v0.3,analogies_high,0.4395833333333333,4800,4800,0
mistralai/Mistral-7B-Instruct-v0.3,analogies_low,0.3495,2000,2000,0
mistralai/Mistral-7B-Instruct-v0.3,analogies_medium,0.3906666666666666,3000,3000,0
mistralai/Mistral-7B-Instruct-v0.3,analogies_mono,0.6172727272727273,1100,1100,0
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_high,0.4883333333333333,4800,4800,0
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_low,0.425,2000,2000,0
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_medium,0.4533333333333333,3000,3000,0
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_mono,0.5114995400183993,1087,1087,0
mistralai/Mistral-7B-Instruct-v0.3,meronymy_high,0.405625,4800,4800,0
mistralai/Mistral-7B-Instruct-v0.3,meronymy_low,0.3455,2000,2000,0
mistralai/Mistral-7B-Instruct-v0.3,meronymy_medium,0.3906666666666666,3000,3000,0
mistralai/Mistral-7B-Instruct-v0.3,meronymy_mono,0.5584176632934683,1087,1087,0
mistralai/Mistral-7B-Instruct-v0.3,gloss_high,0.7283249158249159,4752,4752,0
mistralai/Mistral-7B-Instruct-v0.3,gloss_low,0.4873737373737373,1980,1980,0
mistralai/Mistral-7B-Instruct-v0.3,gloss_medium,0.5457912457912458,2970,2970,0
mistralai/Mistral-7B-Instruct-v0.3,gloss_mono,0.9553734061930784,1098,1098,0
mistralai/Mistral-7B-Instruct-v0.3,analogies_all,0.425078199374405,36765,36765,0
mistralai/Mistral-7B-Instruct-v0.3,gloss_all,0.5893333333333334,750,750,0
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_all,0.4527403780769753,36765,36765,0
mistralai/Mistral-7B-Instruct-v0.3,meronymy_all,0.3511763905888753,36765,36765,0
Qwen/Qwen3-8B,analogies_high,0.50875,4800,4800,5
Qwen/Qwen3-8B,analogies_low,0.387,2000,2000,5
Qwen/Qwen3-8B,analogies_medium,0.449,3000,3000,5
Qwen/Qwen3-8B,analogies_mono,0.7181818181818181,1100,1100,5
Qwen/Qwen3-8B,hypernymy_high,0.608125,4800,4800,5
Qwen/Qwen3-8B,hypernymy_low,0.51,2000,2000,5
Qwen/Qwen3-8B,hypernymy_medium,0.61,3000,3000,5
Qwen/Qwen3-8B,hypernymy_mono,0.7571297148114076,1087,1087,5
Qwen/Qwen3-8B,meronymy_high,0.49875,4800,4800,5
Qwen/Qwen3-8B,meronymy_low,0.417,2000,2000,5
Qwen/Qwen3-8B,meronymy_medium,0.449,3000,3000,5
Qwen/Qwen3-8B,meronymy_mono,0.7175712971481141,1087,1087,5
Qwen/Qwen3-8B,gloss_high,0.8114478114478114,4752,4752,5
Qwen/Qwen3-8B,gloss_low,0.5464646464646464,1980,1980,5
Qwen/Qwen3-8B,gloss_medium,0.7252525252525253,2970,2970,5
Qwen/Qwen3-8B,gloss_mono,0.98816029143898,1098,1098,5
Qwen/Qwen3-8B,analogies_all,0.4898680810553515,36765,36765,5
Qwen/Qwen3-8B,gloss_all,0.7026666666666667,750,750,5
Qwen/Qwen3-8B,hypernymy_all,0.554984360125119,36765,36765,5
Qwen/Qwen3-8B,meronymy_all,0.4254317965456276,36765,36765,5
Qwen/Qwen3-8B,analogies_high,0.4422916666666667,4800,4800,0
Qwen/Qwen3-8B,analogies_low,0.353,2000,2000,0
Qwen/Qwen3-8B,analogies_medium,0.4013333333333333,3000,3000,0
Qwen/Qwen3-8B,analogies_mono,0.5781818181818181,1100,1100,0
Qwen/Qwen3-8B,hypernymy_high,0.483125,4800,4800,0
Qwen/Qwen3-8B,hypernymy_low,0.4385,2000,2000,0
Qwen/Qwen3-8B,hypernymy_medium,0.4836666666666667,3000,3000,0
Qwen/Qwen3-8B,hypernymy_mono,0.4940202391904323,1087,1087,0
Qwen/Qwen3-8B,meronymy_high,0.3702083333333333,4800,4800,0
Qwen/Qwen3-8B,meronymy_low,0.3335,2000,2000,0
Qwen/Qwen3-8B,meronymy_medium,0.4013333333333333,3000,3000,0
Qwen/Qwen3-8B,meronymy_mono,0.4103035878564857,1087,1087,0
Qwen/Qwen3-8B,gloss_high,0.7184343434343434,4752,4752,0
Qwen/Qwen3-8B,gloss_low,0.4762626262626263,1980,1980,0
Qwen/Qwen3-8B,gloss_medium,0.6154882154882155,2970,2970,0
Qwen/Qwen3-8B,gloss_mono,0.7504553734061931,1098,1098,0
Qwen/Qwen3-8B,analogies_all,0.4217870257037944,36765,36765,0
Qwen/Qwen3-8B,gloss_all,0.6013333333333334,750,750,0
Qwen/Qwen3-8B,hypernymy_all,0.4518155854753162,36765,36765,0
Qwen/Qwen3-8B,meronymy_all,0.3359989120087039,36765,36765,0
